Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3",Triticum monococcum,Triticum monococcum,NA,2,28.5,NA,x,x,x,NA,NA
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3",Triticum spelta,Triticum spelta,NA,6,89,NA,x,xx,x,NA,NA
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3",Triticum dicoccum,Triticum dicoccum,NA,15.2,224,NA,x,xxxx,x,NA,NA
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3",Linum usitatissimum,Linum usitatissimum,NA,0.1,1,NA,x,x,x,NA,NA
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3","Hordeum nudum (rachis, glumes)",Hordeum nudum,NA,29,431,NA,x,xxx,xx,NA,NA
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3","Hordeum vulgare (rachis, glumes)",Hordeum vulgare (hulled),NA,1.5,24.5,NA,x,x,x,NA,NA
DK,Bjerre Enge 2&3,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 3",Triticum aestivum/compactum,Triticum aestivum/compactum,NA,0,0,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Avena sp.,Avena sp.,NA,2.5,NA,NA,x,x,x,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Camelina sativa,Camelina sativa,NA,0,NA,NA,0,0,0,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Hordeum nudum,Hordeum nudum,NA,32.5,NA,NA,x,xxxx,xx,NA,NA
DK,Denmark,EBA,1700-1000,NA,Unknown,"Robinson 2003, Table 2",Hordeum vulgare,Hordeum vulgare,NA,5,NA,NA,x,x,x,NA,NA
