Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative_old,Semi_Quantitative
NL,Leidschendam/Voorschoten,LN,2000++,,,Scheibner 2015,wild fur animals,wild fur animals,0.1,x,x,x
NL,Andijk/Vogelenzang,MBA,1800-1100,1,,Scheibner 2015,livestock,livestock,98.6,x,xxxx,xxxx
NL,Andijk/Vogelenzang,MBA,1800-1100,,,Scheibner 2015,wild meat animals,wild,1.0,x,x,x
NL,Andijk/Vogelenzang,MBA,1800-1100,,,Scheibner 2015,pisces,pisces,0.1,x,x,x
NL,Andijk/Vogelenzang,MBA,1800-1100,,,Scheibner 2015,marine,marine,0.3,x,x,x
NL,Andijk,MBA,1800-1100,,,van Amerongen 2014,Cervus elaphus,Cervus elaphus,,x,?,?
NL,Andijk,MBA,1800-1100,,,van Amerongen 2014,Sus scrofa,Sus scrofa,,x,?,?
NL,Andijk,MBA,1800-1100,,,van Amerongen 2014,Ursus arctos,Ursus arctos,,0,0,0
NL,Andijk,MBA,1800-1100,,,van Amerongen 2014,Anas platyrhynchos,Anas platyrhynchos,,0,0,0
NL,Andijk,MBA,1800-1100,,,van Amerongen 2014,Cygnus cygnus,Cygnus cygnus,,0,0,0
NL,Andijk,MBA,1800-1100,,,van Amerongen 2014,Capreolus capreolus,Capreolus capreolus,,x,?,?
NL,Andijk,MBA,1800-1100,,,van Amerongen 2014,Lepus europaeus,Lepus europaeus,,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,1,,van Amerongen 2015,eel (Anguilla anguilla),eel (Anguilla anguilla),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,carps (Cyprinidae indet.),carps (Cyprinidae indet.),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,pike (Esox lucius),pike (Esox lucius),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,bream (Abramis brama),bream (Abramis brama),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,perch (Perca fluviatilis),perch (Perca fluviatilis),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,silver bream (Blicca bjoerkna),silver bream (Blicca bjoerkna),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,3-spined stickleback (Gasterosteus aculeatus),3-spined stickleback (Gasterosteus aculeatus),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,mullets (Mugilidae indet.),mullets (Mugilidae indet.),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,Flatfishes (Pleuronectidae indet.),Flatfishes (Pleuronectidae indet.),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,roach (Rutilus rutiulus),roach (Rutilus rutiulus),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,bleak (Alburnus alburnus),bleak (Alburnus alburnus),,x,?,?
