Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Biatorbágy-Hosszúrét,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,66.5,NA,NA,xxx?,xxx?,NA
Biatorbágy-Hosszúrét,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,33.5,NA,NA,xx?,xx?,NA
Bölcske-Vörösgyír,1,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,83.7,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,13.4,NA,NA,NA,NA,NA,xx,x,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,2.9,NA,NA,NA,NA,NA,x,x,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,21.5,NA,NA,xxx?,x?,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Millet,Panicum miliaceum,NA,NA,NA,4.5,NA,NA,x?,x?,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Pulses,Pulses,NA,NA,NA,17.5,NA,NA,xx?,x?,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Gathered Plants,Gathered Plants,NA,NA,NA,17.2,NA,NA,xx?,x?,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Panicoideae,Wild plants/weeds,NA,NA,NA,4.5,NA,NA,x?,x?,NA
Bölcske-Vörösgyír,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,34.8,NA,NA,xxxx?,xx?,NA
Börcs-Paphomlok,1,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Cereals,Cereals,40.9,NA,NA,NA,NA,NA,xxx,xx,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Millet,Panicum miliaceum,46.9,NA,NA,NA,NA,NA,xxxx,xx,NA
Börcs-Paphomlok,NA,LBA,1400-700,Tumulus,Simple Settlement,"Filatova 2022, Fig. 2",Pulses,Pulses,0.5,NA,NA,NA,NA,NA,x,x,NA
