Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Abundance,Absolute,Stetigkeit_(%_der_Fundplätze),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes,...18
G,South Schleswig-Holstein,EBA,1800-1500,1,Unknown,"Effenberger 2018, Abb. 28",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,21.8,NA,NA,x,xxx,x,NA,NA
G,South Schleswig-Holstein,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 28",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,1.3,NA,NA,x,x,x,NA,NA
G,South Schleswig-Holstein,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 28",Triticum dicoccum,Triticum dicoccum,NA,29.3,NA,NA,x,xxxx,xx,NA,NA
G,South Schleswig-Holstein,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 28",Triticum monococcum,Triticum monococcum,NA,15.2,NA,NA,x,xx,x,NA,NA
G,South Schleswig-Holstein,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 28",Triticum spelta,Triticum spelta,NA,20.2,NA,NA,x,xxx,x,NA,NA
G,South Schleswig-Holstein,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 28",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,7.7,NA,NA,x,x,x,NA,NA
G,South Schleswig-Holstein,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 28",Avena sp.,Avena sp.,NA,4.5,NA,NA,x,x,x,NA,NA
G,Southern Scandinavia/North Sea Coast,EBA,1100-600,1,Unknown,Stika/Heiss 2014,Vicia faba,Vicia faba,NA,NA,0,NA,0,0,0,NA,NA
G,Southern Scandinavia/North Sea Coast,EBA,1100-600,NA,Unknown,Stika/Heiss 2014,Camelina sativa,Camelina sativa,NA,NA,0,NA,0,0,0,NA,NA
G,Southern Scandinavia/North Sea Coast,EBA,1100-600,NA,Unknown,Stika/Heiss 2014,Linum usitatissimum,Linum usitatissimum,NA,NA,1,NA,x,x,x,NA,NA
NL,Netherlands,EBA,1800-1500,1,Unknown,"Effenberger 2018, Abb. 33",Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,8,NA,NA,x,x,x,NA,NA
NL,Netherlands,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 33",Hordeum vulgare nudum,Hordeum vulgare nudum,NA,52.3,NA,NA,x,xxxx,xxx,NA,NA
NL,Netherlands,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 33",Triticum dicoccum,Triticum dicoccum,NA,11.6,NA,NA,x,xx,x,NA,NA
NL,Netherlands,EBA,1800-1500,NA,Unknown,"Effenberger 2018, Abb. 33",Triticum aest/dur/turg,Triticum aest/dur/turg,NA,28,NA,NA,x,xxx,xx,NA,NA
NL,Schipborg,EBA,2000-1800,NA,Unknown,"de Hingh 2000, Table 11.1",Quercus sp.,Quercus sp.,NA,NA,1-10,NA,NA,x,xxxx,NA,NA
G,"Schleswig, Brd. Gram, Vojens house IV",EBA,1800-1500,NA,Unknown,"Robinson 2003, Table 6",Chenopodium album,Chenopodium album,NA,5.5,110.5,NA,NA,x,x,NA,NA
