Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Camelina sativa,Camelina sativa,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Bell Beaker Csepel,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,8,NA,NA,NA,NA,x,x,NA
Hungary,1,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Hordeum vulgare (hulled),Hordeum vulgare (hulled),NA,68,NA,NA,NA,NA,xx,xxx,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Hordeum nudum,Hordeum nudum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum aestivum,Triticum aestivum/durum,NA,5,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum aestivum ssp. Spelta,Triticum spelta,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Triticum turgidum ssp. Dicoccon,Triticum dicoccum,NA,4,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Panicum miliaceum,Panicum miliaceum,NA,1,NA,NA,NA,NA,x,x,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,26.5,NA,NA,NA,NA,x,xx,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,EBA,2600-1900,Makó-Kosihy-Caka,Unknown,Filatova 2022,Camelina sativa,Camelina sativa,NA,0,NA,NA,NA,NA,0,0,NA
