Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,23.7,23.7,xx,NA
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,20.9,20.9,xx,NA
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,4.5,4.5,x,NA
Kajárpéc-Pokolfa-domb,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,8,8,x,NA
Kajárpéric,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,42,NA,42,xxxx,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,24,NA,24,xx,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,21,NA,21,xx,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,5,NA,5,x,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,2,NA,2,x,NA
Kajárpéric,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,7,NA,7,x,NA
Koroncó-Babota,1,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,51.3,51.3,xxxx,NA
Koroncó-Babota,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,25.9,25.9,xx,NA
Koroncó-Babota,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,14.1,14.1,xx,NA
Koroncó-Babota,NA,LBA,1400-700,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,8.7,8.7,x,NA
Mera,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,35,NA,35,xxxx,NA
Mera,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,34,NA,34,xxx,NA
Mera,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,16,NA,16,xx,NA
Mera,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,7,NA,7,x,NA
Mera,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,1,NA,1,x,NA
Mera,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,7,NA,7,x,NA
Mosonmagyaróvár,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,67,NA,67,xxxx,NA
Mosonmagyaróvár,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,17,NA,17,xx,NA
Mosonmagyaróvár,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,10,NA,10,x,NA
Mosonmagyaróvár,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,2,NA,2,x,NA
Mosonmagyaróvár,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,dog,2,NA,2,x,NA
Mosonmagyaróvár,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,wild,2,NA,2,x,NA
Mosonmagyaróvár-Német-dülö,1,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",cattle,NA,68.7,68.7,xxxx,NA
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",caprine,NA,17.2,17.2,xx,NA
Mosonmagyaróvár-Német-dülö,NA,LBA,1400-700,Simple Settlement,Tumulus,"Bartosiewicz 2022, Fig. 2",pig,NA,10.6,10.6,x,NA
