Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative,...13
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,tench (Tinca tinca),tench (Tinca tinca),NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,Scheibner 2015,livestock,livestock,99.9,x,xxxx,xxxx
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,Scheibner 2015,other,other,0.1,x,x,x
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,Harding 2000,cattle,cattle,77,x,xxx,xxx
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,Harding 2000,sheep/goat,caprines,16,x,x,x
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,Harding 2000,pig,pig,7,x,x,x
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2014,Cervus elaphus,Cervus elaphus,NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2014,Sus scrofa,Sus scrofa,NA,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2014,Ursus arctos,Ursus arctos,NA,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2014,Anas platyrhynchos,Anas platyrhynchos,NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2014,Cygnus cygnus,Cygnus cygnus,NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2014,Capreolus capreolus,Capreolus capreolus,NA,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2014,Lepus europaeus,Lepus europaeus,NA,x,?,?
NL,Enkhuizen,MBA-LBA,1800-800,1,Unknown,van Amerongen 2015,eel (Anguilla anguilla),eel (Anguilla anguilla),NA,x,?,?
NL,Enkhuizen,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,carps (Cyprinidae indet.),carps (Cyprinidae indet.),NA,x,?,?
NL,Enkhuizen,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,pike (Esox lucius),pike (Esox lucius),NA,x,?,?
NL,Enkhuizen,MBA-LBA,1800-800,NA,Unknown,van Amerongen 2015,bream (Abramis brama),bream (Abramis brama),NA,x,?,?
