Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
"Budapest, Bocskai-Fehérvári úti aluljáró",1,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,90.8,NA,NA,NA,NA,NA,xxxx,xxxx,NA
"Budapest, Bocskai-Fehérvári úti aluljáró",NA,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,1.4,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Bocskai-Fehérvári úti aluljáró",NA,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 2",Gathered Plants,Gathered Plants,2,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Bocskai-Fehérvári úti aluljáró",NA,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,5.9,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Csepel-Szennyvíztelep",1,MBA,1900-1500,Nagyrév/MBA,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,28,NA,NA,NA,NA,NA,xx,xx,NA
"Budapest, Csepel-Szennyvíztelep",NA,MBA,1900-1500,Nagyrév/MBA,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,0.14,NA,NA,NA,NA,NA,x,x,NA
"Budapest, Csepel-Szennyvíztelep",NA,MBA,1900-1500,Nagyrév/MBA,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,70,NA,NA,NA,NA,NA,xxxx,xxx,NA
Cegléd 4/1.,1,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,100,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Dömsöd-Apaj,1,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,75.1,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Dömsöd-Apaj,NA,MBA,1900-1500,Vatya,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,24.9,NA,NA,NA,NA,NA,xx,x,NA
Dunaújváros-Kosziderpadlás,1,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 2",Cereals,Cereals,1.9,NA,NA,NA,NA,NA,x,x,NA
Dunaújváros-Kosziderpadlás,NA,MBA,1900-1500,Nagyrév/Vatya,Unknown,"Filatova 2022, Fig. 2",Wild plants/weeds,Wild plants/weeds,98.2,NA,NA,NA,NA,NA,xxxx,xxxx,NA
Felsödobsza-Várdomb,NA,MBA,1900-1500,Füzesabony,Unknown,"Filatova 2022, Fig. 2",Pulses,Pulses,4.8,NA,NA,NA,NA,NA,x,x,NA
Hungary,1,MBA,1900-1500,Füzesabony,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
