Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Hungary,1,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum distichon (two-rowed barley),Hordeum vulgare (other),NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Hordeum tetrastichon (four-rowed barley),Hordeum vulgare (other),NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum aestivum/durum,Triticum aestivum/durum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Triticum vulgare antiquorum wheat,Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Cicer arietinum (Chickpea),Pulses,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Lathyrus sativus,Lathyrus sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Onobrychis viciifolia (Common sainfoin),Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Vicia ervilia (Bitter vetch),Vicia sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Vicia sativa var. Sativa (Common vetch),Vicia sp.,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Apiu graveolens (wild celery),Wild plants/weeds,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Cucumis sativus (cucumber),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Linum usitatissimum,Linum usitatissimum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Papaver somniferum,Papaver somniferum,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Pyrus spec. (pear),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Vitis vinifera (grape vine),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
Hungary,NA,EBA (3000 BC),2600-1900,Unknown,Unknown,Gyulai 2010,Anethum graveolens (Common dill),Gathered Plants,NA,NA,NA,0,NA,NA,0,0,NA
