Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Fertöboz-Gradinahegy,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,12.2,12.2,xx,NA
Györszemere-Tóth-tag,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,70.4,70.4,xxxx,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,3.8,3.8,x,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,3.8,3.8,x,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,4.5,4.5,x,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,17.4,17.4,xx,NA
Hungary,1,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",cattle,38.4,NA,38.4,xxxx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",pig,11.9,NA,11.9,xx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",caprine,30.1,NA,30.1,xxx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",horse,19.6,NA,19.6,xx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",wild animals (mammals),7.8,NA,7.8,x,NA
Kaposvár 61. út Kisapostag,1,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",cattle,NA,27.5,27.5,xxx,NA
Kaposvár 61. út Kisapostag,NA,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",caprine,NA,54.1,54.1,xxxx,NA
Kaposvár 61. út Kisapostag,NA,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",pig,NA,14.8,14.8,xx,NA
Kaposvár 61. út Kisapostag,NA,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",horse,NA,1.6,1.6,x,NA
Kaposvár 61. út Kisapostag,NA,EBA,2600-1900,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",large game,NA,2.1,2.1,x,NA
Kapsújlak-Várhegy,1,EBA,2600-1900,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,36.9,36.9,xxxx,NA
Kapsújlak-Várhegy,NA,EBA,2600-1900,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,23.5,23.5,xxx,NA
