Site,Unique,Time_Period,Absolute_Time,Culture,Settlement_Type,Reference,Species,Species_Sum,Percentage,absolute_number,%_of_finds,Frequencies_of_taxa_%,RI_(No_of_sites),Presence_Absence,Semi_Quantitative_old,Semi_Quantitative,Notes
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Tumulus,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,1,LBA,1400-700,Unknown,Unknown,Filatova 2022,Hordeum vulgare (undiff),Hordeum vulgare,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Secale cereale,Secale cereale,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum aestivum ssp. Compactum,Triticum compactum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Triticum monococcum,Triticum monococcum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Lathyrus sativus,Lathyrus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Lens culinaris,Lens culinaris,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Pisum sativum,Pisum sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Vicia sativa,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Canthamus tinctorius,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Chenopodium album (white goosefoot/ fat hen),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Rubus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Unknown,Unknown,Filatova 2022,Sambucus ebulus,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Triticum aestivum/durum,Triticum aestivum/durum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Cicer arietinum (Chickpea),Pulses,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Lathyrus sativus,Lathyrus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Vicia ervilia,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Vicia faba,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Vicia sativa,Vicia sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Linum usitatissimum,Linum usitatissimum,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Canthamus tinctorius,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Chenopodium album (white goosefoot/ fat hen),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Cornus mas,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Corylus avellana,Corylus avellana,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Crataegus monogyna (single-seed hawthorn),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Malus silvestris (crab apple),Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Prunus spinosa,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Pyrus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Quercus sp.,Quercus sp.,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Rubus sp.,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Hungary,NA,LBA,1400-700,Urnfield,Unknown,Filatova 2022,Sambucus ebulus,Gathered Plants,NA,0,NA,NA,NA,NA,0,0,NA
Isztimér-Csöszpuszta,NA,LBA,1400-700,Tumulus,Unknown,"Filatova 2022, Fig. 3",Wild plants/weeds,Wild plants/weeds,NA,NA,NA,100,NA,NA,xxxx?,xxxx?,NA
Lébény-Billebomb,1,LBA,1400-700,Unknown,Unknown,"Filatova 2022, Fig. 3",Cereals,Cereals,NA,NA,NA,18.8,NA,NA,x?,x?,NA
