Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",pig,32.3,NA,32.3,xxx,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",caprine,16.4,NA,16.4,xx,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",horse,3.9,NA,3.9,x,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",wild animals (mammals),27,NA,27,xxx,NA
Igar-Vámpuszta,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,50.8,50.8,xxxx,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,29.6,29.6,xxx,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,12.4,12.4,xx,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,1.6,1.6,x,NA
Igar-Vámpuszta,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,6.1,6.1,x,NA
Jászdózsa-Kápolnahalom,1,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,30,30,xxxx,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,21.6,21.6,xxx,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,18.1,18.1,xx,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,7,7,x,NA
Jászdózsa-Kápolnahalom,NA,eMBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,23.3,23.3,xxx,NA
Jászdózsa-Kápolnahalom,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,39.3,39.3,xxxx,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,17.2,17.2,xx,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,12,12,xx,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,5.4,5.4,x,NA
Jászdózsa-Kápolnahalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,26.1,26.1,xxx,NA
Kakucs-Turján,1,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",cattle,NA,26.4,26.4,xxx,NA
Kakucs-Turján,NA,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",caprine,NA,47.7,47.7,xxxx,NA
Kakucs-Turján,NA,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",pig,NA,11.8,11.8,xx,NA
Kakucs-Turján,NA,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",horse,NA,3.3,3.3,x,NA
Kakucs-Turján,NA,MBA,1900-1400,Tell-like Settlement,Vatya,"Bartosiewicz 2022, Fig. 2",large game,NA,10.8,10.8,xx,NA
Kaposvár 61-es út Incrusted Ware,1,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",cattle,NA,26.1,26.1,xxxx,NA
Kaposvár 61-es út Incrusted Ware,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",caprine,NA,4.4,4.4,x,NA
Kaposvár 61-es út Incrusted Ware,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",pig,NA,26.1,26.1,xxxx,NA
Kaposvár 61-es út Incrusted Ware,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",horse,NA,0.7,0.7,x,NA
Kaposvár 61-es út Incrusted Ware,NA,MBA,1900-1400,Simple Settlement,Transdanubian Encrusted Ware,"Bartosiewicz 2022, Fig. 2",large game,NA,2.8,2.8,x,NA
